# Greek and Hebrew Terms for Selected Bible Book Titles (Lexicon-Style)

| Language | Term | Transliteration | Common English Rendering | Related Book/Section | Notes |
|---|---|---|---|---|---|
| Hebrew | תּוֹרָה | torah | Torah / Law | Pentateuch | Collection label |
| Greek | πεντάτευχος | pentateuchos | Pentateuch | Genesis–Deuteronomy | Five-scroll term |
| Greek | ψαλμοί | psalmoi | Psalms | Psalms | Plural noun |
| Hebrew | תְּהִלִּים | tehillim | Praises | Psalms | Hebrew title |
| Greek | εὐαγγέλιον | euangelion | Gospel | Gospels | Genre label |
| Greek | ἀποκάλυψις | apokalypsis | Revelation | Revelation | Alternate title |
| Latin | ecclesiasticus | ecclesiasticus | Ecclesiasticus | Sirach | Traditional Latin name |
| Greek | σοφία | sophia | Wisdom | Wisdom literature | Used in titles |
| Hebrew | שִׁיר הַשִּׁירִים | shir ha-shirim | Song of Songs | Song of Songs | Superlative construction |
| Greek | ἔσδρας | esdras | Esdras | Ezra/Esdras | Naming varies by canon |
