# 2006 Geelong Football Club season
> Club list

| Player | # | AFL debut | Games | Goals | Behinds | Kicks | Handballs | Disposals | Marks | Tackles |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ablett, Jr., Gary Gary Ablett, Jr. | 29 | 2002 | 021 ! 21 | 035 ! 35 | 028 ! 28 | 212 | 142 | 354 | 074 ! 74 | 065 ! 65 |
| Ablett, Nathan Nathan Ablett | 23 | 2005 | 007 ! 7 | 004 ! 4 | 003 ! 3 | 033 ! 33 | 023 ! 23 | 056 ! 56 | 027 ! 27 | 005 ! 5 |
| Bartel, Jimmy Jimmy Bartel | 3 | 2002 | 021 ! 21 | 015 ! 15 | 012 ! 12 | 297 | 187 | 484 | 139 | 079 ! 79 |
| Blake, Mark Mark Blake | 24 | 2005 | 008 ! 8 | 0 | 0 | 012 ! 12 | 045 ! 45 | 057 ! 57 | 016 ! 16 | 009 ! 9 |
| Byrnes, Shannon Shannon Byrnes | 17 | 2004 | 010 ! 10 | 003 ! 3 | 011 ! 11 | 100 | 047 ! 47 | 147 | 058 ! 58 | 026 ! 26 |
| Callan, Tim Tim Callan | 7 | 2003 | 006 ! 6 | 0 | 0 | 032 ! 32 | 032 ! 32 | 064 ! 64 | 019 ! 19 | 012 ! 12 |
| Chapman, Paul Paul Chapman | 35 | 2000 | 022 ! 22 | 031 ! 31 | 019 ! 19 | 331 | 153 | 484 | 134 | 089 ! 89 |
| Corey, Joel Joel Corey | 11 | 2000 | 022 ! 22 | 008 ! 8 | 004 ! 4 | 298 | 231 | 529 | 107 | 064 ! 64 |
| Egan, Matthew Matthew Egan | 019 ! 19 | 2005 | 22 | 001 ! 1 | 0 | 102 | 130 | 232 | 082 ! 82 | 031 ! 31 |
| Enright, Corey Corey Enright | 44 | 2001 | 022 ! 22 | 011 ! 11 | 002 ! 2 | 327 | 164 | 491 | 139 | 064 ! 64 |
| Gamble, Ryan Ryan Gamble | 34 | 2006 | 001 ! 1 | 0 | 0 | 005 ! 5 | 003 ! 3 | 008 ! 8 | 004 ! 4 | 001 ! 1 |
| Gardiner, Charlie Charlie Gardiner | 16 | 2002 | 005 ! 5 | 004 ! 4 | 002 ! 2 | 045 ! 45 | 030 ! 30 | 075 ! 75 | 025 ! 25 | 013 ! 13 |
| Harley, Tom Tom Harley | 2 | 1998 | 013 ! 13 | 0 | 0 | 088 ! 88 | 071 ! 71 | 159 | 060 ! 60 | 018 ! 18 |
| Hunt, Josh Josh Hunt | 8 | 2001 | 022 ! 22 | 004 ! 4 | 004 ! 4 | 239 | 152 | 391 | 096 ! 96 | 049 ! 49 |
| Johnson, David David Johnson | 28 | 2002 | 017 ! 17 | 005 ! 5 | 001 ! 1 | 152 | 069 ! 69 | 221 | 080 ! 80 | 034 ! 34 |
| Johnson, Steve Steve Johnson | 20 | 2002 | 015 ! 15 | 030 ! 30 | 013 ! 13 | 139 | 060 ! 60 | 199 | 070 ! 70 | 022 ! 22 |
| Kelly, James James Kelly | 9 | 2002 | 015 ! 15 | 007 ! 7 | 002 ! 2 | 134 | 119 | 253 | 048 ! 48 | 040 ! 40 |
| King, Steven Steven King | 1 | 1996 | 016 ! 16 | 001 ! 1 | 001 ! 1 | 116 | 097 ! 97 | 213 | 067 ! 67 | 023 ! 23 |
| Kingsley, Kent Kent Kingsley | 18 | 1999 | 009 ! 9 | 010 ! 10 | 008 ! 8 | 046 ! 46 | 020 ! 20 | 066 ! 66 | 036 ! 36 | 008 ! 8 |
| Koulouriotis, Paul Paul Koulouriotis | 14 | 2000 | 001 ! 1 | 0 | 0 | 005 ! 5 | 009 ! 9 | 014 ! 14 | 002 ! 2 | 003 ! 3 |
