# Iron in Foods for Kids  Per-Serving Values and %DV (Daily Value-Based)

| Food | Serving size | Iron (mg) per serving | %DV (based on adult DV) | Notes |
| --- | --- | ---: | ---: | --- |
| Fortified breakfast cereal | 30 g | 8.0 | 44% | varies by brand |
| Lean beef, cooked | 85 g | 2.1 | 12% | heme iron |
| Lentils, cooked | 1/2 cup | 3.3 | 18% | non-heme |
| Spinach, cooked | 1/2 cup | 3.2 | 18% | non-heme |
| Pumpkin seeds | 28 g | 2.5 | 14% | snack option |
| Chicken thigh, cooked | 85 g | 1.1 | 6% | heme iron |
| Black beans, cooked | 1/2 cup | 1.8 | 10% | non-heme |
| Clams, cooked | 85 g | 23.8 | 132% | very high |
| Tofu | 100 g | 2.7 | 15% | depends on coagulant |
| Raisins | 1/4 cup | 0.8 | 4% | small contribution |
