# Lawrence Technological University
> Academics

| Major/Program | Type of Program |
| --- | --- |
| Civil Engineering | Ph.D. |
| Manufacturing Systems | Doctorate |
| Mechanical Engineering | Doctorate |
| Automotive Engineering | Master |
| Biomedical Engineering | Master |
| Civil Engineering | Master |
| Construction Engineering Management | Master |
| Electrical and Computer Engineering | Master |
| Engineering Management | Master |
| Engineering Management with MBA | Master |
| Engineering Technology | Master |
| Fire Engineering | Master |
| Industrial Engineering | Master |
| Mechanical Engineering | Master |
| Mechatronic Systems Engineering | Master |
| Manufacturing Systems | Master |
| Architectural Engineering | Combined Bachelor/Master |
| Audio Engineering Technology | Four-year Baccalaureate |
| Biomedical Engineering | Four-year Baccalaureate |
| Civil Engineering | Four-year Baccalaureate |
| Civil Engineering and Architecture | Four-year Baccalaureate |
| Computer Engineering | Four-year Baccalaureate |
| Construction Engineering Technology and Management | Four-year Baccalaureate |
| Electrical Engineering | Four-year Baccalaureate |
| Industrial Engineering | Four-year Baccalaureate |
| Mechanical and Manufacturing Engineering Technology | Four-year Baccalaureate |
| Mechanical Engineering | Four-year Baccalaureate |
| Robotics Engineering | Four-year Baccalaureate |
| Aeronautical Engineering | Minor |
| Energy Engineering | Minor |
| Construction Engineering Technology and Management | Two-year Associate |
| Mechanical Engineering Technology | Two-year Associate |
| Aeronautical Engineering | Graduate Certificate |
| Energy Engineering | Graduate Certificate |
| Fire Engineering | Graduate Certificate |
| Integrated Project Delivery | Graduate Certificate |
| Project Management | Graduate Certificate |
| Telecommunications Engineering | Graduate Certificate |
| Electrical Power Systems | Undergraduate Certificate |
| Embedded Systems | Undergraduate Certificate |
