# 2008 NASCAR Craftsman Truck Series
> Races

| Pos. | No. | Driver | Make | Team |
| --- | --- | --- | --- | --- |
| 1 | 30 | Todd Bodine | Toyota | Germain Racing |
| 2 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 3 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 4 | 11 | David Starr | Toyota | Red Horse Racing |
| 5 | 14 | Rick Crawford | Ford | Circle Bar Racing |
| 6 | 4 | Stacy Compton | Dodge | Bobby Hamilton Racing-Virginia |
| 7 | 8 | Chad McCumbee | Chevrolet | MRD Motorsports |
| 8 | 9 | Justin Marks (R) | Toyota | Germain Racing |
| 9 | 16 | Brian Scott (R) | Chevrolet | Xpress Motorsports |
| 10 | 18 | Dennis Setzer | Dodge | Bobby Hamilton Racing-Virginia |
