# 1956 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality | Team | College |
| --- | --- | --- | --- | --- | --- | --- |
| 0 T | 00 – | Heinsohn, Tom Tom Heinsohn ^ | F/C | United States | Boston Celtics | Holy Cross |
| 1 | 0 1 | Green, Sihugo Sihugo Green | G/F | United States | Rochester Royals | Duquesne |
| 1 | 0 2 | Russell, Bill Bill Russell ^ | C | United States | St. Louis Hawks (traded to Boston ) [a] | San Francisco |
| 1 | 0 3 | Paxson, Jim Jim Paxson | G/F | United States | Minneapolis Lakers | Dayton |
| 1 | 0 4 | Shavlik, Ronnie Ronnie Shavlik | F | United States | New York Knicks | NC State |
| 1 | 0 5 | Holup, Joe Joe Holup | F | United States | Syracuse Nationals | George Washington |
| 1 | 0 6 | Sobieszczyk, Ron Ron Sobieszczyk | G | United States | Fort Wayne Pistons (traded to New York ) [b] | DePaul |
| 1 | 0 7 | Lear, Hal Hal Lear | G | United States | Philadelphia Warriors | Temple |
| 2 | 0 8 | Burrow, Bob Bob Burrow | F/C | United States | Rochester Royals | Kentucky |
| 2 | 0 9 | Naulls, Willie Willie Naulls + | F/C | United States | St. Louis Hawks | UCLA |
| 2 | 10 | Rand, Terry Terry Rand # | C | United States | Minneapolis Lakers | Marquette |
| 2 | 11 | Bergen, Gary Gary Bergen | C | United States | New York Knicks | Utah |
| 2 | 12 | Judson, Paul Paul Judson # | F | United States | Syracuse Nationals | Illinois |
| 2 | 13 | Jones, K. C. K. C. Jones ^ | G | United States | Boston Celtics | San Francisco |
| 2 | 14 | Kessler, Bob Bob Kessler # | F | United States | Fort Wayne Pistons | Maryland |
| 2 | 15 | Rollins, Phil Phil Rollins | G | United States | Philadelphia Warriors | Louisville |
