# Common Monatomic Ions (Element-as-Ion) with Explicit Charge and Ion Type

| Ion (element as ion) | Charge shown | Ion type | Typical role in ionic compounds |
| --- | --- | --- | --- |
| Na+ | +1 | Cation | Alkali metal cation |
| Mg2+ | +2 | Cation | Alkaline earth metal cation |
| Al3+ | +3 | Cation | Main-group metal cation |
| Zn2+ | +2 | Cation | Transition metal cation |
| Ag+ | +1 | Cation | Transition metal cation |
| F− | −1 | Anion | Halide anion |
| Cl− | −1 | Anion | Halide anion |
| O2− | −2 | Anion | Oxide anion |
| S2− | −2 | Anion | Sulfide anion |
| N3− | −3 | Anion | Nitride anion |
