# Confederate Alignment of U.S. States During the Civil War (State-Level Classification)

| Category | State | On Confederate side? | Type of affiliation | 1861 status summary | Comparison tag |
| --- | --- | --- | --- | --- | --- |
| Confederate (seceded) | Alabama | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Arkansas | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Florida | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Georgia | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Louisiana | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Mississippi | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | North Carolina | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | South Carolina | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Tennessee | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Texas | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Confederate (seceded) | Virginia | Yes | Seceded state | Left the Union and joined CSA | CSA seceded |
| Border state (contested) | Kentucky | Partial/contested | Claimed by CSA (symbolic) | Officially Union; competing Confederate-aligned government claimed | contested |
| Border state (contested) | Missouri | Partial/contested | Claimed by CSA (symbolic) | Officially Union; competing Confederate-aligned government claimed | contested |
| Union (slave state) | Maryland | No | Union state | Remained in Union despite slavery | Union slave |
| Union (slave state) | Delaware | No | Union state | Remained in Union despite slavery | Union slave |
| Union (free state) | Pennsylvania | No | Union state | Free state; remained in Union | Union free |
| Union (free state) | Ohio | No | Union state | Free state; remained in Union | Union free |
