# Top Rated Chess Players (FIDE Classical Rating Snapshot)

| Rank | Player | Federation | Classical Rating | World Rank Change | Birth Year | Peak Classical Rating |
|---:|---|---|---:|---:|---:|---:|
| 1 | Magnus Carlsen | NOR | 2830 | 0 | 1990 | 2882 |
| 2 | Fabiano Caruana | USA | 2804 | +1 | 1992 | 2844 |
| 3 | Ding Liren | CHN | 2799 | -1 | 1992 | 2816 |
| 4 | Ian Nepomniachtchi | RUS | 2795 | 0 | 1990 | 2799 |
| 5 | Alireza Firouzja | FRA | 2788 | +2 | 2003 | 2804 |
| 6 | Hikaru Nakamura | USA | 2782 | +1 | 1987 | 2816 |
| 7 | Anish Giri | NED | 2779 | -1 | 1994 | 2802 |
| 8 | Wesley So | USA | 2776 | 0 | 1993 | 2822 |
| 9 | Levon Aronian | USA | 2771 | 0 | 1982 | 2830 |
| 10 | Maxime Vachier-Lagrave | FRA | 2768 | -2 | 1990 | 2819 |
