# Bottled Water Brands — Typical pH Ranges by Batch (Consumer Lab Summary)

| Brand | Water Type | Packaging | Reported pH Range | Notes |
|---|---|---|---|---|
| Essentia | Ionized/alkaline | Plastic bottle | 8.8–9.5 | Varies by production lot |
| Evian | Natural spring | Plastic bottle | 7.0–7.6 | Seasonal mineral shifts |
| Fiji | Artesian | Plastic bottle | 6.9–7.5 | Storage time can shift readings |
| Smartwater | Vapor-distilled | Plastic bottle | 6.3–7.0 | Added electrolytes |
| Poland Spring | Spring | Plastic bottle | 5.8–6.6 | Regional spring blend |
| VOSS | Artesian | Glass/Plastic | 6.5–7.4 | Different packaging reported |
| Perrier | Sparkling mineral | Glass | 5.0–5.7 | Carbonation lowers pH |
| Icelandic Glacial | Spring | Plastic bottle | 7.8–8.5 | Label and tests differ |
| Acqua Panna | Spring | Plastic bottle | 7.9–8.4 | High bicarbonate variability |
