# Venomous Snakes of North America by Country and Province State (Mixed Jurisdictions)

| Species (Scientific) | Common Name | Jurisdiction Type | Jurisdiction(s) Listed | Notes |
|---|---|---|---|---|
| Crotalus atrox | Western diamondback rattlesnake | U.S. state + Mexico state | AZ, NM, TX; Sonora, Chihuahua | Cross-border distribution |
| Crotalus oreganus | Western rattlesnake | U.S. state + Canada province | CA, OR, WA, ID; British Columbia | Wide western range |
| Micrurus fulvius | Eastern coral snake | U.S. state | FL, GA, SC, NC | Coastal plain distribution |
| Agkistrodon contortrix | Copperhead | U.S. state | AL, AR, GA, IL, IN, KY, MO, MS, NC, OK, SC, TN, TX, VA | Many-state range |
| Agkistrodon piscivorus | Cottonmouth | U.S. state | FL, GA, AL, MS, LA, AR, TX, OK, NC, SC, VA | Aquatic pit viper |
| Crotalus basiliscus | Mexican west coast rattlesnake | Mexico state | Sinaloa, Nayarit, Jalisco | Mexico-only |
| Sistrurus catenatus | Massasauga | U.S. state + Canada province | MI, WI, IL, IN, OH; Ontario | Disjunct populations |
| Crotalus triseriatus | Dusky rattlesnake | Mexico state | México, Puebla, Tlaxcala | Highland species |
| Crotalus viridis | Prairie rattlesnake | U.S. state + Canada province | CO, WY, SD, ND, MT; Saskatchewan | Great Plains/Canadian prairies |
| Micrurus tener | Texas coral snake | U.S. state + Mexico state | TX; Tamaulipas, Nuevo León | Borderlands species |
