# Public Holidays in Canada in 2026 (Federal and Common Provincial Observances)

| Day of Week | Date (2026) | Holiday Name | Notes / Remarks |
|---|---|---|---|
| Thursday | Jan 01 | New Year's Day | Nationwide public holiday |
| Friday | Jan 02 | Day after New Year's Day | Observed in some provinces/territories (varies) |
| Friday | Apr 03 | Good Friday | Observed nationwide; some regions may also observe Easter Monday |
| Monday | May 18 | Victoria Day | Monday preceding May 25 |
| Wednesday | Jul 01 | Canada Day | If Jul 1 is Sunday, observed on Jul 2 (not the case in 2026) |
| Monday | Aug 03 | Civic Holiday | Common provincial holiday; not a federal statutory holiday |
| Monday | Sep 07 | Labour Day | First Monday in September |
| Monday | Oct 12 | Thanksgiving | Second Monday in October |
| Wednesday | Nov 11 | Remembrance Day | Statutory in many provinces; not statutory in all |
| Friday | Dec 25 | Christmas Day | Nationwide public holiday |
| Saturday | Dec 26 | Boxing Day | Federal holiday; when on weekend, a weekday may be given off depending on employer/province |
