# Brake Rotor Replacement Cost Estimates (Parts vs Labor) by Vehicle

| Vehicle | Axle | Parts Cost Range (pair of rotors) | Labor Cost Range | Shop Supplies/Fees (est.) | Estimated Total Range |
|---|---|---:|---:|---:|---:|
| 2012 Honda Civic | Front | $90–$220 | $110–$190 | $10–$30 | $210–$440 |
| 2016 Toyota Camry | Front | $120–$300 | $130–$220 | $10–$35 | $260–$555 |
| 2014 Ford F-150 (2WD) | Front | $160–$420 | $150–$260 | $15–$40 | $325–$720 |
| 2015 Chevrolet Silverado 1500 | Front | $170–$450 | $160–$280 | $15–$45 | $345–$775 |
| 2013 BMW 328i | Front | $220–$520 | $170–$320 | $15–$50 | $405–$890 |
| 2018 Subaru Outback | Rear | $130–$320 | $140–$240 | $10–$35 | $280–$595 |
| 2017 Jeep Grand Cherokee | Rear | $170–$420 | $160–$280 | $15–$45 | $345–$745 |
| 2019 Mercedes-Benz C300 | Front | $300–$750 | $200–$380 | $20–$60 | $520–$1,190 |
| **Notes (typical)** | — | **Per axle** (left+right) | Flat-rate hours vary | May include hazardous/disposal | Includes parts + labor + fees |
