# Starbucks Tea, Refreshers, and Chocolate Drinks (Includes Some Zero-Caffeine Items)

| Beverage (Starbucks) | Size | Caffeine (mg) | Category |
|---|---:|---:|---|
| Iced Black Tea | Grande | 45 | Tea |
| Iced Green Tea | Grande | 25 | Tea |
| Chai Tea Latte | Grande | 95 | Tea latte |
| Matcha Green Tea Latte | Grande | 80 | Tea latte |
| Pink Drink | Grande | 45 | Refresher |
| Dragon Drink | Grande | 45 | Refresher |
| Hot Chocolate | Grande | 25 | Chocolate |
| White Hot Chocolate | Grande | 0 | Chocolate |
| Herbal Mint Tea | Grande | 0 | Herbal tea |
