# Most Popular Baby Names (Single Name List) — Rank Movement vs. Previous Year

| Rank | Name | Births | Rank last year | Movement |
|---:|---|---:|---:|---|
| 1 | Noah | 18,120 | 1 | 0 |
| 2 | Olivia | 15,430 | 3 | Up 1 |
| 3 | Liam | 17,980 | 2 | Down 1 |
| 4 | Emma | 14,950 | 4 | 0 |
| 5 | Ava | 13,210 | 6 | Up 1 |
| 6 | Sophia | 13,860 | 5 | Down 1 |
| 7 | Mason | 12,040 | 9 | Up 2 |
| 8 | Isabella | 11,760 | 7 | Down 1 |
| 9 | Ethan | 11,520 | 8 | Down 1 |
| 10 | Mia | 11,480 | 10 | 0 |
| 11 | Jacob | 10,990 | 12 | Up 1 |
| 12 | Harper | 10,740 | 11 | Down 1 |
