# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 15 | Château Montrose | 1970 | France |
| 1. | 15 | Château Haut-Brion | 1970 | France |
| 3. | 14 | Château Mouton-Rothschild | 1970 | France |
| 3. | 14 | Stag's Leap Wine Cellars | 1973 | USA |
| 5. | 13 | Mayacamas Vineyards | 1971 | USA |
| 6. | 12 | Château Leoville Las Cases | 1971 | France |
| 7. | 11 | Ridge Vineyards Monte Bello | 1971 | USA |
| 8. | 9 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 9. | 7 | Freemark Abbey Winery | 1969 | USA |
| 9. | 7 | Clos Du Val Winery | 1972 | USA |
