# Citibank Routing Numbers by Transfer Type (ACH vs Wire) and Region

| Transfer method | Region / state coverage | Routing number |
| --- | --- | --- |
| ACH (consumer) | New York (all branches) | 021000089 |
| ACH (business) | New York (former EAB customers) | 021001486 |
| Wire (incoming) | New York (all branches) | 021000089 |
| ACH (consumer) | Northern California (incl. San Francisco & Central CA) | 321171184 |
| Wire (incoming) | Northern California (incl. San Francisco & Central CA) | 321171184 |
| ACH (consumer) | Southern California (Los Angeles & San Diego metro) | 322271724 |
| Wire (incoming) | Maryland (statewide) | 254070116 |
| ACH (consumer) | Maryland (statewide) | 052002166 |
| ACH (consumer) | Florida (statewide) | 266086554 |
