# Red Wine Varietal Chart by Flavor Profile and Body (Light to Full)

| Red Varietal | Typical Aroma & Flavor Notes | Body (Light→Full) | Typical Tannin | Typical Acidity |
| --- | --- | --- | --- | --- |
| Gamay | Raspberry, cherry, violet, banana (carbonic), spice | Light | Low | Medium–High |
| Pinot Noir | Strawberry, cherry, cranberry, forest floor, mushroom | Light–Medium | Low–Medium | Medium–High |
| Grenache (Garnacha) | Strawberry, red plum, white pepper, herbs, licorice | Medium | Low–Medium | Medium |
| Sangiovese | Sour cherry, dried herbs, tomato leaf, leather | Medium | Medium | High |
| Barbera | Black cherry, blackberry, anise, cocoa | Medium | Low–Medium | High |
| Tempranillo | Cherry, fig, tobacco, dill, leather | Medium | Medium | Medium |
| Merlot | Plum, blackberry, chocolate, vanilla, mocha | Medium | Medium | Medium |
| Malbec | Black plum, blueberry, violet, cocoa, smoky | Medium–Full | Medium–High | Medium |
| Syrah (Shiraz) | Blackberry, black pepper, smoked meat, olive, violet | Full | High | Medium |
| Cabernet Franc | Red currant, raspberry, bell pepper, graphite, herbs | Medium | Medium | Medium–High |
| Cabernet Sauvignon | Cassis, black cherry, cedar, tobacco, graphite | Full | High | Medium |
| Nebbiolo | Rose, tar, cherry, anise, dried orange peel | Full | High | High |
