# Polyatomic Ions and Element-Like Entries (Charge Valency Cheat Sheet)

| Entry Type | Name | Formula | Charge / Valency | Common Oxidation State Notes | Typical Context |
| --- | --- | --- | --- | --- | --- |
| Monatomic ion | Silver(I) | Ag+ | +1 | silver commonly +1 | ionic salts |
| Monatomic ion | Silver(II) | Ag2+ | +2 | less common | strong oxidizers |
| Monatomic ion | Gold(I) | Au+ | +1 | common | complexes |
| Monatomic ion | Gold(III) | Au3+ | +3 | common | halides |
| Monatomic ion | Platinum(II) | Pt2+ | +2 | common | coordination |
| Monatomic ion | Platinum(IV) | Pt4+ | +4 | common | coordination |
| Polyatomic ion | Ammonium | NH4+ | +1 | behaves like alkali cation | fertilizers |
| Polyatomic ion | Hydroxide | OH- | -1 | base anion | alkalis |
| Polyatomic ion | Carbonate | CO3^2- | -2 | derived from carbonic acid | minerals |
| Polyatomic ion | Sulfate | SO4^2- | -2 | sulfur at +6 | salts |
| Polyatomic ion | Nitrate | NO3- | -1 | nitrogen at +5 | oxidizers |
| Polyatomic ion | Phosphate | PO4^3- | -3 | phosphorus at +5 | buffers |
