# Citibank State Routing Directory (Mixed  ACH Only + Wire Mention Without Wire Routing Entry)

| State/Region | Routing Number (ABA) | Wire Transfer Field |
|---|---|---|
| California (Northern) | 321171184 | Wire transfers supported (see separate form) |
| Florida | 266086554 | Wire transfers supported (no routing listed) |
| Illinois | 271070801 | Wire option available |
| Maryland | 052002166 | Use wire department (routing not provided) |
| Massachusetts | 221172610 | Incoming wire: contact bank |
| Nevada | 322271724 | Wire: handled centrally |
| New Jersey | 021272655 | Wire transfers supported |
| New York | 021000089 | Wire transfers supported |
| Texas | 113193532 | Wire transfers supported |
