# Rayo Vallecano Honours Summary (Domestic Leagues and Cups)

| Competition | Category | Result | Season/Year |
| --- | --- | --- | --- |
| Segunda División (Spanish Second Tier) | League | Champions | 1976–77 |
| Segunda División | League | Champions | 2017–18 |
| Segunda División | League | Runners-up | 1991–92 |
| Segunda División B (Spanish Third Tier) | League | Champions | 1964–65 |
| Segunda División B | League | Champions | 1987–88 |
| Copa Federación (Spain) | Cup | Winners | 1999–2000 |
| Tercera División (Spanish Fourth Tier) | League | Champions | 1955–56 |
| Regional Championship of Castile (historical) | Regional League | Champions | 1931–32 |
| Copa de Madrid (regional cup) | Regional Cup | Runners-up | 1952 |
| Trofeo Villa de Vallecas (pre-season tournament) | Friendly Trophy | Winners | 2008 |
