# NPT Pipe Tap Hole Preparation Guide (Pilot Drill Sizes and Optional Taper Reamer Drill Sizes)

| Pipe Thread Standard | Nominal Tap Size | TPI | Pilot Drill (Pre-Tap) | Optional Drill If Using Taper Pipe Reamer | Notes on Application |
| --- | --- | --- | --- | --- | --- |
| NPT | 1/16-27 | 27 | 1/4 in (0.2500) | 15/64 in (0.2344) | Often used in small blocks; pilot may be enlarged per tap maker |
| NPT | 1/8-27 | 27 | 11/32 in (0.3438) | R (0.3390) | Common for pneumatic fittings |
| NPT | 1/4-18 | 18 | 29/64 in (0.4531) | 7/16 in (0.4375) | General pipe ports in steel/aluminum |
| NPT | 3/8-18 | 18 | 19/32 in (0.5938) | 37/64 in (0.5781) | Manifolds, valve bodies |
| NPT | 1/2-14 | 14 | 47/64 in (0.7344) | 23/32 in (0.7188) | Typical plumbing size |
| NPT | 3/4-14 | 14 | 61/64 in (0.9531) | 59/64 in (0.9219) | Larger threaded ports |
| NPT | 1-11.5 | 11.5 | 1-3/16 in (1.1875) | 1-5/32 in (1.1563) | Heavy-duty ports; verify engagement depth |
| NPT | 1-1/4-11.5 | 11.5 | 1-9/16 in (1.5625) | 1-1/2 in (1.5000) | Industrial pipe connections |
| NPT | 1-1/2-11.5 | 11.5 | 1-25/32 in (1.7813) | 1-47/64 in (1.7344) | Large NPT taps require robust setup |
| NPT | 2-11.5 | 11.5 | 2-1/4 in (2.2500) | 2-7/32 in (2.2188) | Large ports; use appropriate lubricant |
| NPT | 2-1/2-8 | 8 | 2-13/16 in (2.8125) | 2-3/4 in (2.7500) | Very coarse taper pipe threading |
| NPT | 3-8 | 8 | 3-5/16 in (3.3125) | 3-1/4 in (3.2500) | Large bore; alignment is critical |
