# U.S. Passport Services Fees (Routine vs Expedited) — Common Applications

| Passport service (U.S.) | Who / eligibility | Routine processing fee (USD) | Expedited processing fee (USD) |
|---|---|---:|---:|
| New Passport Book (Form DS-11) | Applicant age 16+ (first-time/in-person) | $130 | $190 |
| New Passport Book (Form DS-11) | Applicant under 16 (in-person) | $100 | $160 |
| Passport Book Renewal (Form DS-82) | Eligible adults renewing by mail | $130 | $190 |
| Replacement Passport Book (lost/stolen) (Form DS-11) | Any age; replacement after loss/theft | $130 | $190 |
| New Passport Card (Form DS-11) | Applicant age 16+ (first-time/in-person) | $30 | $90 |
| New Passport Card (Form DS-11) | Applicant under 16 (in-person) | $15 | $75 |
| Renewal Passport Card (Form DS-82) | Eligible adults renewing by mail | $30 | $90 |
| Replace Passport Card (lost/stolen) (Form DS-11) | Any age; replacement after loss/theft | $30 | $90 |
| Add Passport Card to Existing Book (Form DS-82) | Eligible holders adding a card | $30 | $90 |
