# Central AC Price Ranges by Brand and Efficiency Tier (SEER-Based)

| Brand | Efficiency Tier | SEER Range | Equipment Price Range (USD) | Installed Price Range (USD) |
| --- | --- | --- | --- | --- |
| Carrier | Standard | 13–15 | 1,400–2,000 | 3,000–4,100 |
| Carrier | High Efficiency | 16–18 | 2,100–3,100 | 4,200–6,000 |
| Trane | Standard | 14–15 | 1,500–2,200 | 3,200–4,400 |
| Trane | High Efficiency | 16–20 | 2,300–3,700 | 4,600–7,200 |
| Lennox | Standard | 13–16 | 1,450–2,250 | 3,100–4,600 |
| Lennox | High Efficiency | 17–21 | 2,600–4,200 | 5,200–8,000 |
| Goodman | Standard | 13–15 | 1,050–1,550 | 2,300–3,200 |
| Rheem | Standard | 14–16 | 1,200–1,850 | 2,600–3,900 |
| Ruud | Standard | 14–16 | 1,180–1,820 | 2,550–3,850 |
| York | Standard | 13–15 | 1,150–1,700 | 2,500–3,600 |
