# Gender Identity Representation in Film and Television (Transgender and Gender-Diverse Characters)

| Character | Film/TV Title | Medium | Gender identity label (as identified in-story or by creators) | Notes on identification |
| --- | --- | --- | --- | --- |
| Brandon Teena | Boys Don't Cry | Film | Transgender man | Identified as a trans man; story centers on his gender identity |
| Dil | The Crying Game | Film | Transgender woman | Character is a trans woman; identity is a key plot element |
| Hedwig Robinson | Hedwig and the Angry Inch | Film | Genderqueer / non-binary (gender-diverse) | Referred to as gender-nonconforming; identity discussed in narrative |
| Bree Osbourne | Transamerica | Film | Transgender woman | Explicitly identified as a trans woman and pursuing transition-related care |
| Sin-Dee Rella | Tangerine | Film | Transgender woman | Character is a trans woman; portrayed by a trans actor |
| Rayon | Dallas Buyers Club | Film | Transgender woman | Presented as a trans woman; identity referenced directly |
| Bernadette Bassenger | Priscilla, Queen of the Desert | Film | Transgender woman | Character is a trans woman; contrasted with drag performance |
| Maura Pfefferman | Transparent | TV series | Transgender woman | Comes out as a trans woman; identity central across seasons |
| Sophia Burset | Orange Is the New Black | TV series | Transgender woman | Explicitly identified as trans; includes transition history |
| Jules Vaughn | Euphoria | TV series | Transgender girl/woman | Identified as trans; shown through relationships and backstory |
