# Locations associated with Continental Congress presidents (birthplace, residence, capital)

| Name | Associated state | Birthplace (city) | Primary residence | Congress meeting city/capital | Death place |
|---|---|---|---|---|---|
| Peyton Randolph | Virginia | Williamsburg | Williamsburg | Philadelphia | Williamsburg |
| Henry Middleton | South Carolina | Charleston area | Middleton Place | Philadelphia | Middleton Place |
| John Hancock | Massachusetts | Braintree | Boston | Philadelphia | Quincy |
| Henry Laurens | South Carolina | Charleston | Charleston | Philadelphia | Charleston |
| John Jay | New York | New York City | Westchester County | Philadelphia | Bedford, New York |
| Samuel Huntington | Connecticut | Windham | Norwich | Philadelphia | Norwich |
| Thomas McKean | Delaware | New London Township | Philadelphia | Philadelphia | Philadelphia |
| John Hanson | Maryland | Port Tobacco | Frederick County | Philadelphia | Prince George's County |
| Elias Boudinot | New Jersey | Philadelphia | Burlington | Philadelphia | Burlington |
| Nathaniel Gorham | Massachusetts | Charlestown | Boston area | New York City | Boston area |
