# Demographics of the Faroe Islands
> Vital statistics since 1900 [ 4 ] [ 5 ]

|  | Average population | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| --- | --- | --- | --- | --- | --- | --- |
| 1900 | 15 000 | 455 | 233 | 222 | 30.3 | 15.5 | 14.8 |
| 1901 | 15 300 | 457 | 228 | 229 | 29.9 | 14.9 | 15.0 |
| 1902 | 15 600 | 502 | 217 | 285 | 32.2 | 13.9 | 18.3 |
| 1903 | 15 900 | 435 | 199 | 236 | 27.4 | 12.5 | 14.8 |
| 1904 | 16 200 | 489 | 234 | 255 | 30.2 | 14.4 | 15.7 |
| 1905 | 16 500 | 498 | 296 | 202 | 30.2 | 17.9 | 12.2 |
| 1906 | 16 700 | 493 | 229 | 264 | 29.5 | 13.7 | 15.8 |
| 1907 | 17 000 | 479 | 196 | 283 | 28.2 | 11.5 | 16.6 |
| 1908 | 17 300 | 576 | 182 | 394 | 33.3 | 10.5 | 22.8 |
| 1909 | 17 600 | 528 | 196 | 332 | 30.0 | 11.1 | 18.9 |
| 1910 | 17 900 | 576 | 157 | 419 | 32.2 | 8.8 | 23.4 |
| 1911 | 18 200 | 559 | 164 | 395 | 30.7 | 9.0 | 21.7 |
| 1912 | 18 600 | 624 | 184 | 440 | 33.5 | 9.9 | 23.7 |
| 1913 | 18 900 | 650 | 169 | 481 | 34.4 | 8.9 | 25.4 |
| 1914 | 19 200 | 580 | 182 | 398 | 30.2 | 9.5 | 20.7 |
| 1915 | 19 600 | 643 | 288 | 355 | 32.8 | 14.7 | 18.1 |
| 1916 | 19 900 | 636 | 261 | 375 | 32.0 | 13.1 | 18.8 |
| 1917 | 20 200 | 570 | 240 | 330 | 28.2 | 11.9 | 16.3 |
| 1918 | 20 600 | 625 | 199 | 426 | 30.3 | 9.7 | 20.7 |
| 1919 | 20 900 | 607 | 221 | 386 | 29.0 | 10.6 | 18.5 |
| 1920 | 21 200 | 665 | 227 | 438 | 31.4 | 10.7 | 20.7 |
| 1921 | 21 500 | 614 | 230 | 384 | 28.6 | 10.7 | 17.9 |
| 1922 | 21 800 | 668 | 211 | 457 | 30.6 | 9.7 | 21.0 |
| 1923 | 22 100 | 652 | 255 | 397 | 29.5 | 11.5 | 18.0 |
| 1924 | 22 400 | 631 | 268 | 363 | 28.2 | 12.0 | 16.2 |
| 1925 | 22 700 | 599 | 228 | 371 | 26.4 | 10.0 | 16.3 |
| 1926 | 23 000 | 592 | 199 | 393 | 25.7 | 8.7 | 17.1 |
| 1927 | 23 300 | 579 | 157 | 422 | 24.8 | 6.7 | 18.1 |
| 1928 | 23 600 | 620 | 194 | 426 | 26.3 | 8.2 | 18.1 |
| 1929 | 23 900 | 575 | 253 | 322 | 24.1 | 10.6 | 13.5 |
| 1930 | 24 200 | 633 | 273 | 360 | 26.2 | 11.3 | 14.9 |
| 1931 | 24 500 | 607 | 239 | 368 | 24.8 | 9.8 | 15.0 |
| 1932 | 24 700 | 604 | 210 | 394 | 24.5 | 8.5 | 16.0 |
| 1933 | 25 000 | 545 | 248 | 297 | 21.8 | 9.9 | 11.9 |
| 1934 | 25 300 | 578 | 231 | 347 | 22.8 | 9.1 | 13.7 |
| 1935 | 25 600 | 585 | 269 | 316 | 22.9 | 10.5 | 12.3 |
| 1936 | 25 900 | 565 | 265 | 300 | 21.8 | 10.2 | 11.6 |
| 1937 | 26 200 | 615 | 212 | 403 | 23.5 | 8.1 | 15.4 |
| 1938 | 26 600 | 617 | 241 | 376 | 23.2 | 9.1 | 14.1 |
| 1939 | 26 900 | 577 | 182 | 395 | 21.4 | 6.8 | 14.7 |
| 1940 | 27 300 | 698 | 228 | 470 | 25.6 | 8.4 | 17.2 |
| 1941 | 27 600 | 690 | 286 | 404 | 25.0 | 10.4 | 14.6 |
| 1942 | 28 000 | 721 | 250 | 471 | 25.8 | 8.9 | 16.8 |
