# Indie Drama Series (2019– ) — Main Cast (No Episode Totals Listed)

| Actor | Character / On-screen Role | Billing | Notes |
|---|---|---|---|
| Lena Hart | Maya Rios | Series regular | Investigative journalist |
| Devon Pike | Eli Mercer | Series regular | Maya’s editor |
| Sahana Iyer | Dr. Neha Kulkarni | Recurring | Forensic pathologist |
| Marcos Vela | Tomás Cruz | Recurring | City council aide |
| Alina Cho | Jun Park | Guest | Tech contractor |
| Peter Ladd | Capt. Howard Kline | Guest | Police captain |
| Renee Walsh | Tessa Bloom | Guest | Rival reporter |
| Omar Nasser | Karim Haddad | Guest | Witness in Episode 1 |
| Valerie Stein | Judge Pauline Redd | Guest | Appears in courtroom arc |
