# Paul Kent ( actor )
> Partial filmography

| Title | Episode(s) | Character(s) | Year(s) |
| --- | --- | --- | --- |
| My Three Sons | Bub's Butler | Announcer | 1963 |
| The Outer Limits | The Man With The Power | Detective | 1963 |
| Mission: Impossible | Elena | Frederico (Uncredited) | 1966 |
| The Man From U.N.C.L.E. | The Master's Touch Affair | Valandros's Aide | 1967 |
| Hawaii Five-O | Strangers In Our Own Land | David Milner | 1968 |
| Bonanza | The Night Virginia City Died | Doctor Martin | 1970 |
| The Six Million Dollar Man | The Rescue of Athena One | Flight Surgeon Wolf | 1974 |
| Starsky and Hutch | The Plague | Lieutenant Anderson | 1977 |
| Three's Company | Jack Moves Out/Professor Jack | Alvin Morrell/Doctor Anderson | 1979/1981 |
| Diff'rent Strokes | Small Claims Court/Fire | Judge Roscoe C. Briggs/Chief Scott | 1980/1982 |
| The Dukes of Hazzard | Cletus Falls In Love | Mister Hodges | 1981 |
| Doogie Howser, M.D. | Doogenstein | Philip Leonetti | 1990 |
| Coach | Vegas Odds | Mister Burrows | 1993 |
| Frasier | Burying a Grudge | Doctor Sternstein | 1994 |
| High Incident | Knock Knock | Steven Carlisle | 1997 |
| The Practice | Trial And Error | Judge Skully (Uncredited) | 1997 |
| Boy Meets World | The Honeymooners | Tourist #1 | 1999 |
| The West Wing | Inauguration, Part I | Cardinal Patrick | 2003 |
| ER | Get Carter | Mister Morgan | 2004 |
| Ghost Whisperer | Mended Hearts | Patient | 2005 |
