# Landlocked Countries — Bordering Seas Oceans  null (Verification-Oriented List)

| Country | UN subregion | Capital | Landlocked status | Nearest sea/ocean access (via) | Neighbor count |
|---|---|---|---|---|---:|
| Andorra | Southern Europe | Andorra la Vella | Landlocked | Via Spain/France to Mediterranean/Atlantic | 2 |
| Bhutan | Southern Asia | Thimphu | Landlocked | Via India to Bay of Bengal | 2 |
| Central African Republic | Middle Africa | Bangui | Landlocked | Via Cameroon to Atlantic | 6 |
| Eswatini | Southern Africa | Mbabane (admin.), Lobamba (leg.) | Landlocked | Via Mozambique/South Africa to Indian Ocean | 2 |
| Kosovo | Southeast Europe | Pristina | Landlocked | Via Albania/Montenegro to Adriatic | 4 |
| Kyrgyzstan | Central Asia | Bishkek | Landlocked | Via Kazakhstan/Uzbekistan to Caspian basin routes | 4 |
| Liechtenstein | Western Europe | Vaduz | Landlocked | Via Switzerland/Austria to North Sea/Mediterranean | 2 |
| Luxembourg | Western Europe | Luxembourg | Landlocked | Via Belgium/Netherlands to North Sea | 3 |
| Malawi | Eastern/Southern Africa | Lilongwe | Landlocked | Via Mozambique/Tanzania to Indian Ocean | 3 |
| Moldova | Eastern Europe | Chișinău | Landlocked | Via Ukraine to Black Sea | 2 |
| North Macedonia | Southeast Europe | Skopje | Landlocked | Via Greece to Aegean Sea | 5 |
| San Marino | Southern Europe | San Marino | Landlocked | Via Italy to Adriatic | 1 |
| South Sudan | Eastern Africa | Juba | Landlocked | Via Kenya/Uganda/Sudan to Indian Ocean/Red Sea routes | 6 |
| Tajikistan | Central Asia | Dushanbe | Landlocked | Via Uzbekistan to Aral/Caspian basin routes | 4 |
| Turkmenistan | Central Asia | Ashgabat | Landlocked | Caspian Sea coast only (no ocean access) | 4 |
| Uganda | Eastern Africa | Kampala | Landlocked | Via Kenya to Indian Ocean | 5 |
| Vatican City | Southern Europe | Vatican City | Landlocked | Via Italy to Tyrrhenian Sea | 1 |
| Yemen (for contrast) | Western Asia | Sana'a / Aden | Not landlocked | Direct access to Red Sea & Arabian Sea | 2 |
