# London Stations — Peak-Hour Crowding Bands (Qualitative, Not Passenger Totals)

| Station | AM Peak Crowding Band | PM Peak Crowding Band | Typical Bottleneck | Suggested Mitigation | Area |
|---|---|---|---|---|---|
| Waterloo | Very High | Very High | Main concourse | Staggered boarding | South Bank |
| Victoria | Very High | High | Gatwick Express gates | Queue management | West End |
| London Bridge | High | Very High | Jubilee line escalators | One-way flows | Southwark |
| Liverpool Street | High | High | Elizabeth line interchange | Platform marshalling | City |
| Paddington | Medium | High | H&C/Circle corridors | Wayfinding improvements | Bayswater |
| King's Cross St Pancras | High | High | Ticket hall pinch points | Additional barriers | Camden |
| Stratford | High | High | Central line access | Extra staff at peaks | East London |
| Bank | Very High | Very High | Narrow interchanges | Timed entries | City |
| Oxford Circus | Very High | Very High | Street-level stairs | Temporary closures | West End |
