# Exchange Server Cumulative Updates and Build Numbers Commonly Referenced During Hybrid Deployments

| Exchange version | Update name | Build number | Release date | Notes |
|---|---|---:|---|---|
| Exchange Server 2016 | CU21 | 15.1.2375.7 | 2022-04 | Example build for reference |
| Exchange Server 2016 | CU22 | 15.1.2507.6 | 2022-09 | Example build for reference |
| Exchange Server 2016 | CU23 | 15.1.2507.17 | 2023-06 | Example build for reference |
| Exchange Server 2019 | CU11 | 15.2.1118.7 | 2022-09 | Example build for reference |
| Exchange Server 2019 | CU12 | 15.2.1118.15 | 2023-04 | Example build for reference |
| Exchange Server 2019 | CU13 | 15.2.1118.21 | 2024-02 | Example build for reference |
| Exchange Server 2013 | CU23 | 15.0.1497.2 | 2018-06 | Last CU for Exchange 2013 |
| Exchange Server 2010 | RU32 | 14.3.513.0 | 2019-02 | Legacy reference |
| Exchange Server 2007 | RU23 | 8.3.517.0 | 2017-03 | Legacy reference |
