# 2016 NFL Draft Big Board (Top 20) — Overall Prospect Rankings

| Overall Rank | Player | Position | School |
|---:|---|---|---|
| 1 | Laremy Tunsil | OT | Ole Miss |
| 2 | Joey Bosa | DE | Ohio State |
| 3 | Ezekiel Elliott | RB | Ohio State |
| 4 | Jalen Ramsey | CB | Florida State |
| 5 | Carson Wentz | QB | North Dakota State |
| 6 | Myles Jack | LB | UCLA |
| 7 | Ronnie Stanley | OT | Notre Dame |
| 8 | Derrick Henry | RB | Alabama |
| 9 | DeForest Buckner | DT | Oregon |
| 10 | Jared Goff | QB | California |
| 11 | Vernon Hargreaves III | CB | Florida |
| 12 | Sheldon Rankins | DT | Louisville |
| 13 | Jack Conklin | OT | Michigan State |
| 14 | Kevin Dodd | DE | Clemson |
| 15 | Laquon Treadwell | WR | Ole Miss |
| 16 | Paxton Lynch | QB | Memphis |
| 17 | Shaq Lawson | DE | Clemson |
| 18 | Darron Lee | LB | Ohio State |
| 19 | William Jackson III | CB | Houston |
| 20 | Emmanuel Ogbah | DE | Oklahoma State |
