# Amino Acids  pKa pI and Side-Chain Chemistry Summary

| Amino acid | 1-letter | pKa (α-COOH) | pKa (α-NH3+) | Side-chain pKa | Side-chain class |
|---|---|---:|---:|---:|---|
| Aspartic acid | D | 1.88 | 9.60 | 3.65 | Acidic |
| Glutamic acid | E | 2.19 | 9.67 | 4.25 | Acidic |
| Histidine | H | 1.82 | 9.17 | 6.00 | Basic (imidazole) |
| Cysteine | C | 1.96 | 8.18 | 8.33 | Polar (thiol) |
| Lysine | K | 2.18 | 8.95 | 10.53 | Basic |
| Tyrosine | Y | 2.20 | 9.11 | 10.07 | Aromatic (phenol) |
| Arginine | R | 2.17 | 9.04 | 12.48 | Basic (guanidinium) |
| Serine | S | 2.21 | 9.15 | — | Polar |
| Alanine | A | 2.35 | 9.87 | — | Nonpolar |
| Proline | P | 1.99 | 10.60 | — | Nonpolar |
