# 30-Month CD Rate Table Including IRA CD and Brokered CD Offers (Not Pure Standard Bank CDs)

| Institution/Offer | Product Type | Term | APY | Minimum Opening Requirement | Where Offered |
| --- | --- | --- | --- | --- | --- |
| SilverLine Bank | Standard CD | 30 months | 1.90% | $1,000 | Bank website |
| NorthGate Financial | IRA CD | 30 months | 2.05% | $2,000 (IRA funding) | Retirement account platform |
| Beacon Securities | Brokered CD (callable) | 30 months | 2.20% | $10,000 (brokerage lot) | Brokerage marketplace |
| Meadow Credit Union | Share Certificate | 30 months | 1.95% | $500 + membership share | In-branch/online |
| Harborview Bank | Standard CD | 30 months | 1.88% | $5,000 | Bank website |
| Summit Brokerage Services | Brokered CD | 30 months | 2.10% | $1,000 (brokerage) | Brokerage marketplace |
| Pinecrest Trust | Callable CD | 30 months | 2.25% | $25,000 | Private bank |
| Lakeshore Bank | Standard CD | 30 months | 1.92% | $1,500 | Bank website |
| Valley Retirement CU | IRA Share Certificate | 30 months | 2.00% | $1,000 (IRA transfer) | IRA-only |
