# Egyptian Gods and Goddesses (Roles and Major Spheres of Influence)

| Deity | Gender / Type | Primary sphere (god/goddess of) | Typical role description |
| --- | --- | --- | --- |
| Aten | Deity (solar disk) | Sun (solar radiance) | Solar-focused cult; emphasis on the sun’s light |
| Geb | God | Earth | Personification of the earth; linked to fertility of the land |
| Nut | Goddess | Sky | Sky personified; associated with the heavens and stars |
| Nephthys | Goddess | Protection, mourning | Protective figure in funerary contexts and lamentation |
| Khnum | God | Creation, Nile source | Ram-linked creator; fashions life on a potter’s wheel |
| Sobek | God | Nile, crocodiles, power | Crocodile-linked; strength and waters of the Nile |
| Set (Seth) | God | Chaos, storms, desert | Associated with disorder and hostile forces |
| Wadjet | Goddess | Protection of Lower Egypt | Cobra-linked guardian; protective power |
| Nekhbet | Goddess | Protection of Upper Egypt | Vulture-linked guardian; protective power |
| Neith | Goddess | Weaving, war | Ancient deity; linked to craft and martial aspects |
| Shu | God | Air, separation of sky and earth | Upholds the sky; principle of air and space |
| Tefnut | Goddess | Moisture, rain | Moisture principle; balance with Shu in cosmology |
