# Major Conflicts Associated with the Russian Federation — Dates and Locations

| Years | Conflict | Primary Location | Type | Estimated Duration (months) |
|---|---|---|---|---|
| 1994–1996 | First Chechen War | Chechnya (Russia) | Internal | 20 |
| 1999–2009 | Second Chechen War | North Caucasus | Internal | 120 |
| 2008 | Russo–Georgian War | South Ossetia/Abkhazia | Interstate | 1 |
| 2014 | Crimea crisis | Crimea | Annexation crisis | 2 |
| 2014–2022 | War in Donbas | Eastern Ukraine | Hybrid | 96 |
| 2015–present | Russian intervention in Syria | Syria | Expeditionary | 100+ |
| 2022–present | War in Ukraine | Ukraine | Interstate | 40+ |
| 2023 | Belgorod border incidents | Belgorod (Russia) | Cross-border | 6 |
| 2024 | Black Sea drone strikes | Black Sea region | Maritime/security | 12 |
