# Practice Set  Name These Ionic Compounds (Formula → Name)

| Chemical Formula | Compound Type | Standard Name | Contains Polyatomic Ion? |
|---|---|---|---|
| NaCl | ionic | sodium chloride | no |
| CaCO3 | ionic | calcium carbonate | yes (carbonate) |
| K2SO4 | ionic | potassium sulfate | yes (sulfate) |
| Mg(OH)2 | ionic | magnesium hydroxide | yes (hydroxide) |
| Al2O3 | ionic | aluminum oxide | no |
| NH4NO3 | ionic | ammonium nitrate | yes (ammonium, nitrate) |
| FeCl3 | ionic | iron(III) chloride | no |
| CuSO4 | ionic | copper(II) sulfate | yes (sulfate) |
| AgNO3 | ionic | silver nitrate | yes (nitrate) |
| Na3PO4 | ionic | sodium phosphate | yes (phosphate) |
