# University of Central Florida (UCF) — Estimated Annual Cost of Attendance (Undergraduate, Living On Campus)

| Cost Component | Estimated Annual Cost (USD) | Included in Total? | Notes |
|---|---:|---|---|
| Tuition (in-state) | 6,380 | Yes | Base tuition estimate |
| Mandatory fees | 2,020 | Yes | Activity, athletics, transportation, etc. |
| Housing (on-campus) | 7,800 | Yes | Typical dorm/shared room estimate |
| Meal plan | 4,600 | Yes | Standard meal plan estimate |
| Books & supplies | 1,000 | Yes | Varies by major |
| Transportation | 1,200 | Yes | Local travel estimate |
| Personal/miscellaneous | 2,100 | Yes | Clothing, phone, entertainment |
| **Total Estimated Cost of Attendance (In-state, On Campus)** | **25,100** | **Yes** | Sum of line items |
| Tuition (out-of-state) | 22,470 | Partially | Replace in-state tuition for nonresidents |
| **Total Estimated Cost of Attendance (Out-of-state, On Campus)** | **41,190** | **Yes** | Uses out-of-state tuition + same non-tuition costs |
