# Timeline of Indian history
> 13 th century

| Year | Date | Event |
| --- | --- | --- |
| 1206 | 15 March | Gakhars kill Muhammad Ghori during a raid on his camp on the Jhelum River |
| 1206 | 12 June | Qutb-ud-din Aibak establishes slave Dynasty later to be known as Delhi Sultanate |
| 1210 |  | Qutb-ud-din Aibak died while playing polo. |
| 1221 |  | Genghis Khan invades Punjab |
| 1238 | October | Sri Madhwacharya born in Pajaka near Udupi , Karnataka |
| 1240 | 14 October | Murder of Razia Sultan by Turkish nobles. |
| 1267 |  | The Mahanubhava philosophy established by Chakradhar Swami . |
| 1275 |  | Birth of saint Dnyaneshwar . |
| 1290 |  | Murder of Muiz ud din Qaiqabad . |
