# Carbonic acid
> Acidity of carbonic acid

| p CO 2 {\displaystyle p_{{\text{CO}}_{2}}} (atm) | pH | [CO 2 ] (mol/L) | [H 2 CO 3 ] (mol/L) | [HCO 3 − ] (mol/L) | [CO 3 2− ] (mol/L) |
| --- | --- | --- | --- | --- | --- |
| 1.0 × 10 −8 | 7.00 | 3.36 × 10 −10 | 5.71 × 10 −13 | 1.42 × 10 − 0 9 | 7.90 × 10 −13 |
| 1.0 × 10 −7 | 6.94 | 3.36 × 10 − 0 9 | 5.71 × 10 −12 | 5.90 × 10 − 0 9 | 1.90 × 10 −12 |
| 1.0 × 10 −6 | 6.81 | 3.36 × 10 − 0 8 | 5.71 × 10 −11 | 9.16 × 10 − 0 8 | 3.30 × 10 −11 |
| 1.0 × 10 −5 | 6.42 | 3.36 × 10 − 0 7 | 5.71 × 10 −10 | 3.78 × 10 − 0 7 | 4.53 × 10 −11 |
| 1.0 × 10 −4 | 5.92 | 3.36 × 10 − 0 6 | 5.71 × 10 − 0 9 | 1.19 × 10 − 0 6 | 5.57 × 10 −11 |
| 3.5 × 10 −4 | 5.65 | 1.18 × 10 − 0 5 | 2.00 × 10 − 0 8 | 2.23 × 10 − 0 6 | 5.60 × 10 −11 |
| 1.0 × 10 −3 | 5.42 | 3.36 × 10 − 0 5 | 5.71 × 10 − 0 8 | 3.78 × 10 − 0 6 | 5.61 × 10 −11 |
| 1.0 × 10 −2 | 4.92 | 3.36 × 10 − 0 4 | 5.71 × 10 − 0 7 | 1.19 × 10 − 0 5 | 5.61 × 10 −11 |
| 1.0 × 10 −1 | 4.42 | 3.36 × 10 − 0 3 | 5.71 × 10 − 0 6 | 3.78 × 10 − 0 5 | 5.61 × 10 −11 |
| 1.0 × 10 + 0 | 3.92 | 3.36 × 10 − 0 2 | 5.71 × 10 − 0 5 | 1.20 × 10 − 0 4 | 5.61 × 10 −11 |
| 2.5 × 10 + 0 | 3.72 | 8.40 × 10 − 0 2 | 1.43 × 10 − 0 4 | 1.89 × 10 − 0 4 | 5.61 × 10 −11 |
| 1.0 × 10 + 1 | 3.42 | 3.36 × 10 − 0 1 | 5.71 × 10 − 0 4 | 3.78 × 10 − 0 4 | 5.61 × 10 −11 |
