# Indian States and Union Territories with Capitals (Single-City Capital Lookup)

| Type | State / Union Territory | Capital (single city) |
| --- | --- | --- |
| State | Andhra Pradesh | Amaravati |
| State | Arunachal Pradesh | Itanagar |
| State | Assam | Dispur |
| State | Bihar | Patna |
| State | Chhattisgarh | Raipur |
| State | Goa | Panaji |
| State | Gujarat | Gandhinagar |
| State | Haryana | Chandigarh |
| State | Himachal Pradesh | Shimla |
| State | Jharkhand | Ranchi |
| State | Karnataka | Bengaluru |
| State | Kerala | Thiruvananthapuram |
| State | Madhya Pradesh | Bhopal |
| State | Maharashtra | Mumbai |
| State | Manipur | Imphal |
| State | Meghalaya | Shillong |
| State | Mizoram | Aizawl |
| State | Nagaland | Kohima |
| State | Odisha | Bhubaneswar |
| State | Punjab | Chandigarh |
| State | Rajasthan | Jaipur |
| State | Sikkim | Gangtok |
| State | Tamil Nadu | Chennai |
| State | Telangana | Hyderabad |
| State | Tripura | Agartala |
| State | Uttar Pradesh | Lucknow |
| State | Uttarakhand | Dehradun |
| State | West Bengal | Kolkata |
| Union Territory | Andaman and Nicobar Islands | Port Blair |
| Union Territory | Chandigarh | Chandigarh |
| Union Territory | Dadra and Nagar Haveli and Daman and Diu | Daman |
| Union Territory | Delhi (NCT) | New Delhi |
| Union Territory | Jammu and Kashmir | Srinagar |
| Union Territory | Ladakh | Leh |
| Union Territory | Lakshadweep | Kavaratti |
| Union Territory | Puducherry | Puducherry |
