# State-by-State Seat Belt Requirements (Sample of U.S. States) — Covered Occupants, Seating Position, and First-Offense Fines

| State | Covered Occupants (Age/Role) | Seating Positions Covered | Key Exemptions (Examples) | Monetary Penalty for Violation | Immediate Consequence |
| --- | --- | --- | --- | --- | --- |
| California | Drivers and passengers age 16+; children under 16 must be properly restrained | All | Certain medical waivers; some commercial/utility exceptions | Base fine often cited around $20 (plus assessments) | Can be stopped and cited (primary) |
| Colorado | Drivers and front-seat passengers; passengers under 16 in all seats | All for <16; otherwise front | Medical exemptions; some rural delivery/work exceptions | Typically $65 | Traffic citation |
| Georgia | Drivers and front-seat passengers; under-18 passengers in all seats | All for <18; front for adults | Medical exemptions | Up to $15 (plus surcharges possible) | Ticket for unbelted covered occupant |
| Illinois | Drivers and all passengers age 8+; younger children under child-restraint law | All | Medical exemptions; some work vehicles | $25 (plus fees) | Primary-stop citation |
| Massachusetts | Drivers and passengers age 12+ | All | Medical exemptions; some antique vehicles | $25 | Civil motor vehicle infraction |
| Minnesota | Drivers and all passengers | All | Medical waivers; certain commercial vehicles | $25 (plus fees) | Citation for nonuse |
| New York | Drivers and front-seat passengers; under-16 passengers in all seats | All for <16; front for adults | Medical exemptions | $50–$100 | Ticket; points may apply in some cases |
| Ohio | Drivers and front-seat passengers; passengers under 15 in all seats | All for <15; front for adults | Limited exemptions (e.g., delivery vehicles) | Up to $30 | Citation (enforcement varies by occupant) |
| Pennsylvania | Drivers and front-seat passengers; under-18 passengers in all seats | All for <18; front for adults | Some rural mail/delivery exceptions | Typically $10 | Secondary enforcement in many cases |
| Texas | Drivers and all passengers | All | Medical exemptions; certain agricultural/work vehicles | Up to $200 (varies by offense) | Citation; higher fines for repeat offenses |
