# Adobe Products  Version Compatibility and Release Line Tracking

| Release line | Product | Latest major version | Compatibility focus | Distribution |
| --- | --- | --- | --- | --- |
| Creative Suite era | Photoshop | CS6 | Windows 7/8; macOS 10.6–10.8 | Creative Suite, Standalone |
| Creative Suite era | InDesign | CS6 | Legacy OS supported | Creative Suite |
| Creative Suite era | After Effects | CS6 | Legacy GPU/QuickTime constraints | Creative Suite |
| Creative Cloud era | Photoshop | CC 2024 | Windows 10/11; macOS 12+ | Creative Cloud |
| Creative Cloud era | Illustrator | CC 2024 | Modern OS only | Creative Cloud |
| Creative Cloud era | Premiere Pro | CC 2024 | Codec/GPU driver dependent | Creative Cloud |
| Mobile | Lightroom | 9.x | iOS/Android app compatibility | App Store/Play Store, Creative Cloud |
| Web | Acrobat | Continuous | Browser compatibility | Web subscription |
| Enterprise | ColdFusion | 2023 | JDK/app server compatibility | Standalone |
| SDK/Format | DNG Converter | 16.x | Camera/RAW compatibility | Standalone |
