# List of countries by past and projected GDP ( nominal )
> IMF estimates between 2010 and present

| Country (or dependent territory) | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Afghanistan | 15,325 | 17,890 | 20,296 | 20,170 | 20,444 | 19,204 | 17,275 |
| Albania | 11,927 | 12,891 | 12,345 | 12,916 | 13,296 | 11,543 | 12,269 |
| Algeria | 161,207 | 199,394 | 209,005 | 209,703 | 213,518 | 172,278 | 165,974 |
| Angola | 82,471 | 104,116 | 115,342 | 124,174 | 126,775 | 102,979 | 81,497 |
| Antigua and Barbuda | 1,136 | 1,130 | 1,205 | 1,185 | 1,248 | 1,287 | 1,332 |
| Argentina | 461,652 | 558,681 | 607,596 | 622,054 | 544,734 | 585,623 | 437,856 |
| Armenia | 9,260 | 10,142 | 10,619 | 11,121 | 11,644 | 10,571 | 10,774 |
| Australia | 1,244,973 | 1,499,947 | 1,555,263 | 1,497,218 | 1,441,951 | 1,223,887 | 1,200,778 |
| Austria | 390,939 | 429,431 | 407,599 | 428,833 | 437,582 | 374,124 | 384,799 |
| Azerbaijan | 52,913 | 64,819 | 68,700 | 73,537 | 75,254 | 54,048 | 35,141 |
| Bahamas | 7,910 | 7,890 | 8,234 | 8,432 | 8,511 | 8,705 | 8,917 |
| Bahrain | 25,708 | 29,038 | 30,750 | 32,891 | 33,843 | 30,411 | 30,079 |
| Bangladesh | 122,039 | 131,079 | 141,705 | 161,297 | 183,824 | 205,715 | 226,257 |
| Barbados | 4,446 | 4,358 | 4,313 | 4,281 | 4,353 | 4,412 | 4,498 |
| Belarus | 55,221 | 59,735 | 63,615 | 73,098 | 76,139 | 54,609 | 45,887 |
| Belgium | 485,307 | 528,617 | 499,024 | 524,943 | 532,391 | 454,687 | 465,248 |
| Belize | 1,398 | 1,489 | 1,574 | 1,624 | 1,699 | 1,763 | 1,807 |
| Benin | 6,570 | 7,304 | 7,547 | 8,310 | 9,590 | 8,471 | 9,062 |
| Bhutan | 1,433 | 1,747 | 1,844 | 1,934 | 1,985 | 2,214 | 2,475 |
| Bolivia | 19,786 | 24,135 | 27,282 | 30,883 | 33,237 | 33,210 | 33,983 |
| Bosnia and Herzegovina | 16,847 | 18,318 | 16,906 | 17,842 | 18,522 | 15,794 | 16,324 |
| Botswana | 12,794 | 15,725 | 14,807 | 15,097 | 15,880 | 12,860 | 12,701 |
| Brazil | 2,209,266 | 2,613,061 | 2,412,024 | 2,391,029 | 2,417,158 | 1,772,589 | 1,534,782 |
| Brunei | 13,707 | 18,527 | 19,047 | 18,092 | 17,104 | 11,786 | 9,097 |
| Bulgaria | 48,782 | 55,799 | 52,613 | 54,517 | 56,716 | 48,957 | 49,364 |
| Burkina Faso | 9,123 | 10,734 | 11,172 | 12,202 | 12,483 | 11,009 | 11,872 |
| Burundi | 2,032 | 2,371 | 2,510 | 2,723 | 2,896 | 2,881 | 2,772 |
| Cape Verde | 1,664 | 1,865 | 1,752 | 1,838 | 1,867 | 1,595 | 1,625 |
| Cambodia | 11,232 | 12,818 | 14,057 | 15,362 | 16,778 | 18,155 | 19,476 |
| Cameroon | 23,667 | 26,612 | 26,487 | 29,576 | 31,625 | 28,478 | 30,296 |
| Canada | 1,614,072 | 1,788,741 | 1,832,716 | 1,838,964 | 1,783,776 | 1,552,386 | 1,462,329 |
| Central African Republic | 1,986 | 2,196 | 2,171 | 1,538 | 1,726 | 1,605 | 1,819 |
| Chad | 10,678 | 12,168 | 12,375 | 12,951 | 13,944 | 10,894 | 10,096 |
| Chile | 217,283 | 250,651 | 265,134 | 276,659 | 258,682 | 240,222 | 235,419 |
| China | 6,039,547 | 7,492,529 | 8,461,511 | 9,490,845 | 10,430,712 | 10,982,829 | 11,383,033 |
| Colombia | 286,954 | 336,369 | 369,560 | 380,041 | 377,867 | 293,243 | 253,240 |
| Comoros | 544 | 611 | 596 | 658 | 697 | 589 | 609 |
| Democratic Republic of the Congo | 20,641 | 24,575 | 27,566 | 32,676 | 35,918 | 38,873 | 41,207 |
| Republic of the Congo | 12,029 | 14,433 | 13,678 | 13,478 | 13,552 | 8,878 | 8,364 |
| Costa Rica | 36,298 | 41,237 | 45,301 | 49,237 | 49,604 | 52,898 | 56,908 |
| Ivory Coast | 24,931 | 25,405 | 27,114 | 31,072 | 33,741 | 31,172 | 34,668 |
| Croatia | 59,611 | 62,172 | 56,484 | 57,750 | 57,171 | 48,850 | 49,928 |
| Cyprus | 25,294 | 27,114 | 24,954 | 24,065 | 23,113 | 19,330 | 19,795 |
| Czech Republic | 207,016 | 227,313 | 206,442 | 208,328 | 205,270 | 181,858 | 185,269 |
| Denmark | 319,812 | 341,498 | 325,012 | 338,927 | 346,119 | 294,951 | 301,784 |
| Djibouti | 1,099 | 1,239 | 1,354 | 1,455 | 1,588 | 1,727 | 1,903 |
| Dominica | 494 | 501 | 485 | 507 | 524 | 497 | 521 |
| Dominican Republic | 53,803 | 58,304 | 60,530 | 61,293 | 64,058 | 67,492 | 71,433 |
| Ecuador | 69,555 | 79,277 | 87,925 | 94,776 | 100,917 | 98,828 | 94,014 |
| Egypt | 230,024 | 247,726 | 275,756 | 285,437 | 301,391 | 330,765 | n/a |
| El Salvador | 21,418 | 23,139 | 23,814 | 24,351 | 25,164 | 25,766 | 27,327 |
| Equatorial Guinea | 12,709 | 17,230 | 18,011 | 17,136 | 15,530 | 9,403 | 7,884 |
| Eritrea | 2,117 | 2,608 | 3,092 | 3,502 | 4,052 | 4,666 | 5,352 |
| Estonia | 19,542 | 23,191 | 23,159 | 25,255 | 26,506 | 22,704 | 23,847 |
| Ethiopia | 29,917 | 31,958 | 43,134 | 47,656 | 55,511 | 61,629 | 67,435 |
| Fiji | 3,140 | 3,646 | 3,850 | 4,034 | 4,289 | 4,526 | 4,747 |
| Finland | 248,262 | 273,925 | 256,849 | 269,274 | 272,649 | 230,685 | 237,111 |
| France | 2,651,772 | 2,865,304 | 2,682,901 | 2,811,128 | 2,833,687 | 2,422,649 | 2,488,378 |
| Gabon | 14,359 | 18,203 | 17,181 | 17,596 | 18,209 | 13,800 | 14,240 |
| Gambia | 952 | 898 | 910 | 899 | 824 | 761 | 757 |
| Georgia | 11,638 | 14,435 | 15,847 | 16,141 | 16,536 | 13,753 | 14,270 |
| Germany | 3,423,466 | 3,761,142 | 3,541,575 | 3,746,488 | 3,874,437 | 3,371,003 | 3,472,507 |
| Ghana | 32,174 | 39,565 | 41,939 | 47,806 | 38,616 | 37,679 | 42,295 |
| Greece | 300,156 | 289,068 | 249,663 | 242,306 | 237,970 | 192,980 | 192,515 |
| Grenada | 771 | 779 | 800 | 842 | 912 | 957 | 1,005 |
| Guatemala | 41,338 | 47,655 | 50,388 | 53,851 | 58,728 | 63,218 | 66,401 |
| Guinea | 4,929 | 5,124 | 5,632 | 6,160 | 6,707 | 6,733 | 7,067 |
| Guinea-Bissau | 848 | 1,107 | 996 | 1,027 | 1,111 | 1,035 | 1,116 |
| Guyana | 2,262 | 2,582 | 2,854 | 2,982 | 3,059 | 3,203 | 3,411 |
| Haiti | 6,620 | 7,516 | 7,890 | 8,451 | 8,711 | 8,797 | 8,924 |
| Honduras | 15,730 | 17,649 | 18,514 | 18,499 | 19,511 | 19,941 | 20,457 |
| Hong Kong | 228,637 | 248,514 | 262,629 | 275,743 | 290,896 | 307,790 | 322,166 |
| Hungary | 129,585 | 139,447 | 126,825 | 133,424 | 136,989 | 118,490 | 124,012 |
| Iceland | 13,237 | 14,665 | 14,195 | 15,377 | 17,036 | 16,738 | 17,775 |
| India | 1,708,460 | 1,843,018 | 1,835,821 | 1,875,157 | 2,051,228 | 2,182,577 | 2,384,726 |
| Indonesia | 755,256 | 892,590 | 919,002 | 912,502 | 888,648 | 872,615 | 940,750 |
| Iran | 463,971 | 564,459 | 583,164 | 380,348 | 416,490 | 396,915 | 416,220 |
| Iraq | 138,517 | 185,750 | 218,032 | 232,497 | 223,508 | 165,057 | 176,417 |
| Ireland | 220,063 | 241,800 | 224,652 | 238,260 | 250,814 | 227,498 | 240,454 |
| Israel | 234,323 | 261,762 | 259,612 | 292,412 | 305,673 | 298,866 | 312,434 |
| Italy | 2,130,586 | 2,280,315 | 2,076,370 | 2,137,615 | 2,147,744 | 1,819,047 | 1,867,572 |
| Jamaica | 13,191 | 14,397 | 14,745 | 14,189 | 13,709 | 13,823 | 14,128 |
| Japan | 5,498,719 | 5,908,988 | 5,957,249 | 4,919,589 | 4,602,367 | 4,116,242 | 4,170,643 |
| Jordan | 26,425 | 28,840 | 30,981 | 33,641 | 35,878 | 38,210 | 40,891 |
| Kazakhstan | 148,047 | 188,049 | 203,517 | 231,876 | 216,036 | 195,005 | 173,199 |
| Kenya | 40,000 | 41,953 | 50,410 | 54,931 | 60,937 | 63,121 | 68,866 |
| Kiribati | 156 | 180 | 188 | 181 | 181 | 164 | 166 |
| South Korea | 1,094,499 | 1,202,464 | 1,222,807 | 1,305,605 | 1,410,383 | 1,392,952 | 1,450,050 |
| Kosovo | 5,841 | 6,699 | 6,503 | 7,075 | 7,319 | 6,309 | 6,604 |
| Kuwait | 115,401 | 154,016 | 174,063 | 175,839 | 172,608 | 123,228 | 128,538 |
| Kyrgyzstan | 4,806 | 6,198 | 6,605 | 7,333 | 7,402 | 7,158 | 7,659 |
| Laos | 6,842 | 8,062 | 9,400 | 10,788 | 11,681 | 12,548 | 13,444 |
| Latvia | 24,112 | 28,488 | 28,343 | 30,838 | 31,972 | 27,822 | 29,288 |
| Lebanon | 38,010 | 40,076 | 44,100 | 47,598 | 50,028 | 54,395 | 57,028 |
| Lesotho | 2,250 | 2,538 | 2,410 | 2,277 | 2,220 | 2,035 | 2,096 |
| Liberia | 1,292 | 1,540 | 1,746 | 1,962 | 2,013 | 2,015 | 2,109 |
| Libya | 74,804 | 34,707 | 81,915 | 65,516 | 41,148 | 29,721 | 32,380 |
