# Rotational Symmetry Orders of Common 2D Polygons (Classroom Shapes)

| Shape (2D) | Typical description | Order of rotational symmetry |
|---|---|---|
| Circle | All rotations map onto itself | Infinite (often written as ∞) |
| Semicircle | Half a circle with a diameter | 1 |
| Square | Regular quadrilateral | 4 |
| Rectangle (non-square) | Opposite sides equal, right angles | 2 |
| Parallelogram (generic) | Opposite sides parallel, no right-angle requirement | 2 |
| Rhombus (non-square) | All sides equal, not a square | 2 |
| Kite (generic) | Two pairs of adjacent equal sides | 1 |
| Trapezoid / Trapezium (generic) | Exactly one pair of parallel sides | 1 |
| Regular pentagon | 5 equal sides/angles | 5 |
| Regular hexagon | 6 equal sides/angles | 6 |
| Regular octagon | 8 equal sides/angles | 8 |
