# German Prepositions and the Case They Govern (Grouped) — with Mixed Two-Way Prepositions

| Case group | Preposition | Notes / typical meaning |
| --- | --- | --- |
| Accusative | durch | motion through |
| Accusative | für | for, in favor of |
| Accusative | gegen | against |
| Dative | aus | out of, from |
| Dative | mit | with |
| Dative | zu | to, toward |
| Genitive | wegen | because of |
| Genitive | trotz | in spite of |
| Two-way (Acc/Dat) | in | location vs direction |
| Two-way (Acc/Dat) | auf | on (to) vs on (at) |
| Two-way (Acc/Dat) | unter | under (to) vs under (at) |
