# Most Followed Social Video Accounts (Cross-Platform) — YouTube Included

| Rank | Platform | Account / Channel | Followers / Subscribers | Metric Type | Link Category |
|---:|---|---|---:|---|---|
| 1 | TikTok | Khaby Lame | 162,000,000 | Followers | Creator |
| 2 | Instagram | Cristiano Ronaldo | 614,000,000 | Followers | Athlete |
| 3 | YouTube | MrBeast | 220,100,000 | Subscribers | Creator |
| 4 | TikTok | Charli D'Amelio | 151,000,000 | Followers | Creator |
| 5 | YouTube | T-Series | 252,400,000 | Subscribers | Music label |
| 6 | Instagram | Lionel Messi | 496,000,000 | Followers | Athlete |
| 7 | YouTube | Cocomelon - Nursery Rhymes | 176,800,000 | Subscribers | Kids |
| 8 | Facebook | Facebook App | 214,000,000 | Page Likes | Brand |
| 9 | X (Twitter) | Elon Musk | 180,000,000 | Followers | Executive |
| 10 | YouTube | SET India | 173,200,000 | Subscribers | TV network |
