# Credit Card Debt Collection Time Limits by State (Statute of Limitations)

| State | Written contract (years) | Open account (years) | Promissory note (years) | Special remarks |
|---|---:|---:|---:|---|
| California | 4 | 4 | 6 | Choice-of-law may alter outcome |
| Texas | 4 | 4 | 4 | Limitations tolled in some cases |
| Florida | 5 | 4 | 5 | Different for judgments |
| New York | 6 | 6 | 6 | Recent reforms may apply prospectively |
| Illinois | 10 | 5 | 10 | Contract type dependent |
| Ohio | 8 | 6 | 8 | UCC exceptions possible |
| Georgia | 6 | 4 | 6 | Written vs. implied distinction |
| Arizona | 6 | 3 | 6 | Open account shorter |
| Washington | 6 | 3 | 6 | May vary for credit unions |
