# Windows Alt Codes (Box Drawing and Block Elements)

| Group | Alt Code (Windows) | Symbol | Description |
| --- | --- | --- | --- |
| Box drawing | Alt 0179 | │ | Box drawings light vertical |
| Box drawing | Alt 0196 | ─ | Box drawings light horizontal |
| Box drawing | Alt 0218 | ┌ | Box drawings light down and right |
| Box drawing | Alt 0191 | ┐ | Box drawings light down and left |
| Box drawing | Alt 0192 | └ | Box drawings light up and right |
| Box drawing | Alt 0217 | ┘ | Box drawings light up and left |
| Box drawing | Alt 0197 | ┼ | Box drawings light vertical and horizontal |
| Block element | Alt 0176 | ░ | Light shade |
| Block element | Alt 0177 | ▒ | Medium shade |
| Block element | Alt 0178 | ▓ | Dark shade |
| Block element | Alt 0219 | █ | Full block |
| Block element | Alt 0220 | ▄ | Lower half block |
