# British Monarchy  Key Reign Milestones by Year (Accession, Coronation, Abdication, Death)

| Year | Milestone type | Person | Description | Location |
| --- | --- | --- | --- | --- |
| 1685 | Accession | James II | Succeeds Charles II | London |
| 1685 | Coronation | James II | Coronation ceremony | Westminster Abbey |
| 1688 | Abdication | James II | Flight and loss of throne | Rochester/France |
| 1702 | Accession | Anne | Succeeds William III | London |
| 1714 | Death | Anne | Dies in office | Kensington Palace |
| 1837 | Accession | Victoria | Succeeds William IV | Kensington Palace |
| 1901 | Death | Victoria | Dies after long reign | Osborne House |
| 1936 | Abdication | Edward VIII | Abdicates the throne | Windsor |
| 1952 | Accession | Elizabeth II | Succeeds George VI | Sandringham |
