# List of Star Trek characters ( N–S )
> Characters from all series , listed alphabetically

| Abbreviation | Title | Medium |
| --- | --- | --- |
| TOS | Star Trek: The Original Series (1966–69) | TV |
| TAS | Star Trek: The Animated Series (1973–74) | TV |
| TMP | Star Trek: The Motion Picture (1979) | film |
| WOK | Star Trek II: The Wrath of Khan (1982) | film |
| SFS | Star Trek III: The Search for Spock (1984) | film |
| TVH | Star Trek IV: The Voyage Home (1986) | film |
| TFF | Star Trek V: The Final Frontier (1989) | film |
| TUC | Star Trek VI: The Undiscovered Country (1991) | film |
| TNG | Star Trek: The Next Generation (1987–94) | TV |
| DS9 | Star Trek: Deep Space Nine (1993–99) | TV |
| GEN | Star Trek Generations (1994) | film |
| VOY | Star Trek: Voyager (1995–2001) | TV |
| FCT | Star Trek: First Contact (1996) | film |
| INS | Star Trek: Insurrection (1998) | film |
| NEM | Star Trek: Nemesis (2002) | film |
| ENT | Star Trek: Enterprise (2001–05) | TV |
| ST | Star Trek (2009) | film |
| ID | Star Trek Into Darkness (2013) | film |
| BEY | Star Trek Beyond (2016) | film |
| DSC | Star Trek: Discovery (2017–) | TV |
