# Popular Beer List with Single Stated ABV Values

| Beer Name | Brewery | Country | Style | ABV (%) |
| --- | --- | --- | --- | --- |
| Alpine Lager | Summit Peak Brewing | USA | Lager | 4.7% |
| Riverstone IPA | Riverstone Brewing Co. | USA | IPA | 6.4% |
| Midnight Oat Stout | Black Anchor Brewery | USA | Oatmeal Stout | 5.9% |
| Citrus Blonde Ale | Harborline Brewing | USA | Blonde Ale | 4.5% |
| Vienna Amber | Old Mill Brewers | USA | Vienna Lager | 5.2% |
| West Coast Pale Ale | Juniper Ridge Brewing | USA | Pale Ale | 5.8% |
| Tropical Hefeweizen | Sunbay Brewing | USA | Hefeweizen | 5.1% |
| Robust Porter | Ironworks Brewery | USA | Porter | 6.0% |
| Belgian Dubbel | Monastery Hill Brewery | Belgium | Dubbel | 7.2% |
| Imperial Stout | North Forge Brewing | USA | Imperial Stout | 9.5% |
