# Hispanics in the United States Marine Corps
> 1983 Beirut Bombing

| Name | Rank | Place of birth |
| --- | --- | --- |
| Caesar, Johnnie D. | E3 Lance Corporal | El Campo, Texas |
| Comas, Juan M. | E2 Private First Class | Hialeah, Florida |
| Garcia, Randall J. | E3 Lance Corporal | Modesto, California |
| Garcia, Ronald J. | E3 Lance Corporal | Jacksonville, North Carolina |
| Hernandez, Jr., Matilde | E7 Gunnery Sergeant | Austin, Texas |
| Melendez, Louis | E2 Private First Class | Puerto Rico |
| Munoz, Alex | E4 Corporal | Bloomfield, New Mexico |
| Nava, Luis A. | E3 Lance Corporal | Gardena, California |
| Ortega, Alexander | E6 Staff Sergeant | Rochester, New York |
| Ortiz, Richard C. | CWO3 Chief Warrant Officer | New York City, New York |
| Pomales Torres, Rafael | E5 Sergeant | Philadelphia, Pennsylvania |
| Rodriquez, Juan | E5 Sergeant | Miami, Florida |
| Rotondo, Louis | E3 Lance Corporal | Philadelphia, Pennsylvania |
| San Pedro, Guillermo | E3 Lance Corporal | Hialeah, Florida |
| Silvia, James F. | E3 Lance Corporal | Middletown, Rhode Island |
| Valle, Pedro J. | E4 Corporal | San Juan, Puerto Rico |
