# Asian and Pacific Economies  GDP (PPP) by Country and Year (2010–2015, current international $)

| Country | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 |
| --- | ---: | ---: | ---: | ---: | ---: | ---: |
| China | 10,240 | 11,550 | 12,840 | 14,260 | 15,710 | 17,180 |
| India | 4,040 | 4,420 | 4,820 | 5,280 | 5,790 | 6,290 |
| Japan | 4,420 | 4,520 | 4,700 | 4,820 | 4,920 | 5,010 |
| Indonesia | 2,060 | 2,260 | 2,500 | 2,740 | 3,010 | 3,300 |
| South Korea | 1,420 | 1,520 | 1,600 | 1,690 | 1,790 | 1,880 |
| Australia | 1,020 | 1,070 | 1,120 | 1,170 | 1,230 | 1,290 |
| Philippines | 0,460 | 0,500 | 0,550 | 0,600 | 0,670 | 0,740 |
| Vietnam | 0,300 | 0,330 | 0,370 | 0,410 | 0,470 | 0,550 |
| Malaysia | 0,520 | 0,560 | 0,610 | 0,660 | 0,720 | 0,816 |
| Singapore | 0,320 | 0,340 | 0,370 | 0,400 | 0,430 | 0,472 |
