# Top Baby Names by Country (2020–2024) with Brief Notes

| Year | Country/Region | Rank | Name | Gender | Notes |
|---|---|---:|---|---|---|
| 2020 | United States | 1 | Liam | Boy | Consistently #1 in recent SSA lists |
| 2020 | United States | 1 | Olivia | Girl | #1; strong multi-year trend |
| 2021 | England & Wales | 1 | Noah | Boy | Ranked highest in ONS release |
| 2021 | England & Wales | 1 | Olivia | Girl | Continues as leading choice |
| 2022 | Australia | 1 | Oliver | Boy | Tops national baby name lists |
| 2022 | Australia | 1 | Charlotte | Girl | Stable top-5 presence |
| 2023 | Canada | 1 | Noah | Boy | Popular across multiple provinces |
| 2023 | Canada | 1 | Olivia | Girl | Remains the most registered |
| 2024 | New Zealand | 1 | Leo | Boy | Rising quickly year over year |
| 2024 | New Zealand | 1 | Isla | Girl | Popular short name trend |
