# Hand luggage
> Commercial air travel

| Dimensions | Airlines and notes |
| --- | --- |
| 42 cm × 32 cm × 25 cm | Wizz Air (or 56 × 45 × 25 for an extra fee) |
| 45 cm × 35 cm × 20 cm | Japan Airlines on aircraft with under 100 seats on domestic flights [8] |
| 48 cm × 33 cm × 20 cm | Aer Lingus Regional ( Stobart Air – one bag max. 7 kg) [9] |
| 48 cm × 36 cm × 20 cm | Aurigny class Regional (one bag max. 10 kg) or class Inter-Island (max. 6 kg) [10] |
| 50 cm × 45 cm × 20 cm | Jet Airways for flights within India with ATR aircraft (one bag max. 7 kg for Economy Class, one bag max. 10 kg plus one laptop for Business and First Class) [11] |
| 55 cm × 35 cm × 20 cm "Cabin OK" | IATA Proposed Cabin OK logo (2015) |
| 55 cm × 35 cm × 25 cm | Air France (weight allowance depends on route and class), [12] Jet Airways for all other flights (one bag max. 7 kg for Economy Class, one bag max. 10 kg plus one laptop for Business and First Class), [11] Malaysia Airlines ; (one bag up to 7 kg plus one personal item) [13] |
| 55 cm × 40 cm × 20 cm | Asiana Airlines , [14] Korean Air , [15] Vueling , [16] Ukraine International Airlines , [17] Ryanair (not guaranteed to travel in cabin, first bag max. 10 kg;. Second bag of size 35 cm × 20 cm × 20 cm also allowed.) [18] |
| 55 cm × 40 cm × 23 cm | Austrian Airlines , Edelweiss Air , Lufthansa , Swiss Global Air Lines , Swiss International Air Lines (one bag max. 8 kg or a foldable garment bag up to 57 cm × 54 cm × 15 cm); [19] [20] Flybe (one bag max. 10 kg), [21] Air Canada (10 kg plus one personal item not exceeding 43 cm × 33 cm × 16 cm) [22] |
| 55 cm × 40 cm × 24 cm | Aer Lingus (one bag max. 10 kg plus one personal item not exceeding 33 cm × 25 cm × 20 cm) [9] |
| 55 cm × 40 cm × 25 cm | All Nippon Airways , Japan Airlines on aircraft with at least 100 seats on domestic flights, [23] for all aircraft on international flights |
| 56 cm × 35 cm × 23 cm | Delta Air Lines (one bag plus one personal item), [24] United Airlines (one bag plus one personal item) [25] |
| 56 cm × 36 cm × 23 cm | American Airlines (one bag plus one personal item), [26] Virgin Atlantic [27] |
| 56 cm × 45 cm × 25 cm "IATA size" | British Airways (one bag plus one bag up to 40 cm x 30 cm x 15 [28] cm, up to 23 kg each); [29] EasyJet (one bag, no special weight limit, not guaranteed to travel in cabin); [30] Finnair (one bag, max. 8 kg plus one personal item) [31] |
