# Amino Acid Side-Chain Chemistry Classification (Polarity, Functional Groups)

| Class | Amino Acid | Side-chain functional group | Typical property |
| --- | --- | --- | --- |
| Nonpolar aliphatic | Glycine | H | Small, flexible |
| Nonpolar aliphatic | Alanine | Methyl | Hydrophobic |
| Nonpolar aliphatic | Valine | Isopropyl | Hydrophobic |
| Nonpolar aliphatic | Leucine | Isobutyl | Hydrophobic |
| Nonpolar aliphatic | Isoleucine | Sec-butyl | Hydrophobic |
| Aromatic | Phenylalanine | Phenyl | Hydrophobic, aromatic |
| Aromatic | Tyrosine | Phenol | Polarizable |
| Aromatic | Tryptophan | Indole | Aromatic |
| Polar uncharged | Serine | Alcohol | H-bond donor/acceptor |
| Polar uncharged | Threonine | Secondary alcohol | H-bonding |
| Polar uncharged | Asparagine | Amide | H-bonding |
| Polar uncharged | Glutamine | Amide | H-bonding |
| Positively charged | Lysine | Primary amine | Basic |
| Positively charged | Arginine | Guanidinium | Strongly basic |
| Negatively charged | Aspartate | Carboxylate | Acidic |
| Negatively charged | Glutamate | Carboxylate | Acidic |
