# Valence Electrons and Group Trends for Main-Group Elements

| Element | Symbol | Periodic Group | Valence Electrons | Typical Bonding Behavior |
|---|---|---|---|---|
| Lithium | Li | 1 | 1 | tends to lose 1 electron |
| Beryllium | Be | 2 | 2 | tends to lose 2 electrons |
| Boron | B | 13 | 3 | often forms 3 covalent bonds |
| Carbon | C | 14 | 4 | forms 4 covalent bonds |
| Nitrogen | N | 15 | 5 | forms 3 bonds + lone pair |
| Oxygen | O | 16 | 6 | forms 2 bonds + 2 lone pairs |
| Fluorine | F | 17 | 7 | forms 1 bond; very electronegative |
| Neon | Ne | 18 | 8 | noble gas; typically inert |
| Phosphorus | P | 15 | 5 | expands octet in some compounds |
| Sulfur | S | 16 | 6 | variable bonding; expands octet |
