# Demographics of North Korea
> Vital statistics

| Period | Births | Deaths | Difference | Crude Birth Rate | Crude Death Rate | Natural Increase | Total Fertility Rate | Infant Mortality Rate |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1950 - 1955 | 230 000 | 114 000 | 116 000 | 23,8 | 11,8 | 12,0 | 2,70 | 90,5 |
| 1955 - 1960 | 372 000 | 109 000 | 263 000 | 36,2 | 10,6 | 25,6 | 3,80 | 75,9 |
| 1960 - 1965 | 381 000 | 106 000 | 275 000 | 32,8 | 9,1 | 23,7 | 3,41 | 66,9 |
| 1965 - 1970 | 490 000 | 105 000 | 385 000 | 36,9 | 7,9 | 29,0 | 4,09 | 56,3 |
| 1970 - 1975 | 458 000 | 92 000 | 365 000 | 30,2 | 6,1 | 24,1 | 3,72 | 44,1 |
| 1975 - 1980 | 317 000 | 83 000 | 233 000 | 19,0 | 5,0 | 14,0 | 2,58 | 35,2 |
| 1980 - 1985 | 388 000 | 92 000 | 296 000 | 21,6 | 5,1 | 16,5 | 2,93 | 29,9 |
| 1985 - 1990 | 389 000 | 105 000 | 284 000 | 20,0 | 5,4 | 14,6 | 2,45 | 26,1 |
| 1990 - 1995 | 450 000 | 124 000 | 326 000 | 21,5 | 5,9 | 15,5 | 2,40 | 24,3 |
| 1995 - 2000 | 443 000 | 219 000 | 225 000 | 19,8 | 9,8 | 10,1 | 2,20 | 54,9 |
| 2000 - 2005 | 379 000 | 209 000 | 170 000 | 16,3 | 9,0 | 7,3 | 2,05 | 28,5 |
| 2005 - 2010 | 352 000 | 231 000 | 120 000 | 14,6 | 9,6 | 5,0 | 2,05 | 27,4 |
