# List of Australian Football League players with 200 games for one club
> Adelaide Football Club

| Name | Career span | Games |
| --- | --- | --- |
| Andrew McLeod | 1995–2010 | 340 |
| Tyson Edwards | 1995–2010 | 321 |
| Mark Ricciuto | 1993–2007 | 312 |
| Ben Hart | 1992–2006 | 311 |
| Nigel Smart | 1991–2004 | 278 |
| Simon Goodwin | 1997–2010 | 275 |
| Mark Bickley | 1991–2003 | 272 |
| Scott Thompson | 2005– | 268 |
| Michael Doughty | 2000–2012 | 231 |
| Ben Rutten | 2003–2014 | 229 |
| Graham Johncock | 2002–2013 | 227 |
| Nathan Bassett | 1998–2008 | 210 |
| Nathan van Berlo | 2005–2016 | 205 |
| Brent Reilly | 2002–2014 | 203 |
