# Indian PIN Code Zones by Digit Range and Postal Circle (Reference Table)

| PIN Range / Prefix | Postal Circle | Headquarters City | Covered States/UTs | Notes |
| --- | --- | --- | --- | --- |
| 10–11xxxx | Delhi | New Delhi | Delhi | Metro circle grouping |
| 12–13xxxx | Haryana | Ambala | Haryana | Range-based mapping |
| 14–15xxxx | Punjab | Chandigarh | Punjab | High-level region bucket |
| 16xxxx | Chandigarh | Chandigarh | Chandigarh | Single-prefix circle |
| 17xxxx | Himachal Pradesh | Shimla | Himachal Pradesh | Prefix-to-circle view |
| 18–19xxxx | Jammu & Kashmir | Srinagar | J&K / Ladakh | Administrative grouping |
| 20–28xxxx | Uttar Pradesh | Lucknow | Uttar Pradesh | Does not list localities |
| 30–34xxxx | Rajasthan | Jaipur | Rajasthan | Useful only for broad routing |
| 36–39xxxx | Gujarat | Ahmedabad | Gujarat | Not city-neighborhood detail |
