# GCSE vs A Level Availability Matrix for Common Secondary Subjects (Illustrative School Offer)

| Subject | GCSE offered | A level offered | Typical pathway/variant |
| --- | --- | --- | --- |
| Combined Science (Trilogy) | Yes | No | GCSE route; A level usually splits into separate sciences |
| Biology | Yes | Yes | Separate Science GCSE may be required/preferred |
| Chemistry | Yes | Yes |  |
| Physics | Yes | Yes |  |
| Statistics | Yes | No | Often GCSE-only as a standalone course |
| Economics | No | Yes | Often starts at A level (no GCSE required in many schools) |
| Sociology | No | Yes | Often A level only |
| Religious Studies (RS) | Yes | No | Many schools run GCSE RS but not A level |
| Politics | No | Yes | Typically A level only |
| Classical Civilisation | Yes | Yes | Some schools offer GCSE and A level; others A level only |
| Latin | Yes | Yes | Availability varies by school |
| Classical Greek | No | Yes | Often offered only at A level if at all |
| Media Studies | Yes | Yes | Sometimes called “Media” at A level |
| Film Studies | No | Yes | More common at A level |
| Food Preparation & Nutrition | Yes | No | Usually GCSE-only |
| Engineering | Yes | No | Often vocational at KS4; A level offer less common |
| Photography | Yes | Yes | Often under Art & Design umbrella |
| Dance | Yes | Yes | Some schools offer both; others only GCSE |
| Mandarin Chinese | Yes | Yes | Depends on staffing and student demand |
