# Convention on the Rights of the Child (CRC) — Status by Country with Optional Protocols and Reporting Details

| State | CRC status | CRC date | OPAC status | OPSC status | Latest periodic report (year) | Reporting body |
|---|---|---|---|---|---|---|
| France | Party | 1990-08-07 | Party | Party | 2022 | Inter-ministerial committee |
| Japan | Party | 1994-05-22 | Party | Party | 2021 | Cabinet Office |
| Mexico | Party | 1990-09-21 | Party | Party | 2020 | Ministry of Foreign Affairs |
| Nigeria | Party | 1991-04-19 | Party | Party | 2019 | Ministry of Women Affairs |
| Pakistan | Party | 1990-11-12 | Party | Party | 2018 | Ministry of Human Rights |
| Somalia | Party | 2015-01-20 | Not a party | Not a party | 2020 | Prime Minister’s Office |
| United States | Signatory (not ratified) | 1995-02-16 | Not a party | Not a party | N/A | N/A |
| Sudan | Party | 1990-08-03 | Party | Party | 2016 | National Council for Child Welfare |
| Thailand | Party | 1992-03-27 | Party | Party | 2019 | Ministry of Social Development |
| Viet Nam | Party | 1990-02-28 | Party | Party | 2022 | Ministry of Labour |
